Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1000.000000	-168.458973	0.529007	48.455512	4.318159	0.000684	0.042777
410.000000	1000.000000	-165.175886	0.527969	49.178833	4.288775	0.000682	0.017325
420.000000	1000.000000	-164.502155	0.527220	48.325439	4.191212	0.000680	0.011917
430.000000	1000.000000	-161.358924	0.526513	49.779564	4.229152	0.000684	0.025342
440.000000	1000.000000	-158.912079	0.525937	48.262051	4.033630	0.000688	0.012245
450.000000	1000.000000	-158.365445	0.525035	47.268730	3.930272	0.000690	0.025640
460.000000	1000.000000	-152.768253	0.524073	48.566651	3.888333	0.000707	0.012653
470.000000	1000.000000	-149.585887	0.523472	49.131744	3.847213	0.000700	0.030723
480.000000	1000.000000	-147.091695	0.522012	47.894187	3.677492	0.000820	0.018032
490.000000	1000.000000	-143.639349	0.521158	48.527591	3.632717	0.000840	0.027114
500.000000	1000.000000	-138.419160	0.519382	48.467887	3.484475	0.000853	0.016504
510.000000	1000.000000	-135.695427	0.519005	47.897782	3.373280	0.000853	0.012159
520.000000	1000.000000	-133.662655	0.518109	47.908838	3.317773	0.000858	0.035708
530.000000	1000.000000	-131.129095	0.516886	47.423483	3.214304	0.000880	0.013543
540.000000	1000.000000	-127.386643	0.516152	48.390193	3.181695	0.000890	0.072732
550.000000	1000.000000	-125.835535	0.515276	48.224123	3.126855	0.000891	-0.001000
560.000000	1000.000000	-122.622503	0.514468	47.998882	3.028026	0.000891	-0.001000
570.000000	1000.000000	-119.324692	0.513029	46.945738	2.873881	0.000916	0.010465
580.000000	1000.000000	-116.317704	0.512006	46.673494	2.779657	0.000913	0.012886
590.000000	1000.000000	-111.070361	0.510975	48.556535	2.755784	0.000922	0.031866
600.000000	1000.000000	-108.822915	0.510046	47.673145	2.646084	0.000935	-0.001000
610.000000	1000.000000	-105.791545	0.508625	47.544540	2.558288	0.000953	0.016480
620.000000	1000.000000	-104.203100	0.507769	48.136670	2.546966	0.000961	0.036144
630.000000	1000.000000	-100.305868	0.507000	47.182196	2.399452	0.000974	0.011993
640.000000	1000.000000	-95.031669	0.503061	46.620101	2.228755	0.001240	0.037835
650.000000	1000.000000	-87.725326	0.499566	46.211567	2.025204	0.001285	0.033468
660.000000	1000.000000	-81.490213	0.497236	47.253030	1.914688	0.001291	0.031123
670.000000	1000.000000	-78.269567	0.493403	45.714347	1.765417	0.001374	0.026644
680.000000	1000.000000	-71.130563	0.490008	45.276105	1.578079	0.001361	0.022148
690.000000	1000.000000	-66.076654	0.486002	46.132618	1.481476	0.001415	0.054038
700.000000	1000.000000	-58.726650	0.479048	45.832499	1.289402	0.001941	-0.001000
710.000000	1000.000000	-53.472535	0.473339	42.906060	1.085979	0.001993	0.027685
720.000000	1000.000000	-47.314177	0.465827	42.893463	0.945382	0.002696	0.071532
730.000000	1000.000000	-41.395386	0.454873	42.870779	0.807242	0.002889	0.045582
740.000000	1000.000000	-35.124317	0.442074	41.553572	0.645225	0.004011	0.036458
750.000000	1000.000000	-29.642990	0.429068	41.643379	0.529656	0.005183	0.072731
760.000000	1000.000000	-24.480321	0.408586	40.667833	0.406772	0.006434	0.121633
770.000000	1000.000000	-19.056087	0.379572	39.488795	0.285629	0.008072	0.095866
780.000000	1000.000000	-13.592529	0.341040	39.859419	0.184772	0.010395	0.196379
790.000000	1000.000000	-8.483989	0.288284	40.678025	0.099490	0.014626	0.215783
800.000000	1000.000000	-3.452541	0.209999	41.534583	0.030114	0.027334	0.301168
810.000000	1000.000000	-0.146004	0.052957	36.307186	0.000281	0.226264	0.610987
