Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1000.000000	-0.480218	0.618219	57.052056	0.016938	0.099185	7.579046
410.000000	1000.000000	-0.782863	0.641512	61.008590	0.030639	0.051468	4.765155
420.000000	1000.000000	-1.356402	0.665144	65.061559	0.058699	0.025953	4.005748
430.000000	1000.000000	-2.300234	0.687054	67.243467	0.106271	0.013045	2.080634
440.000000	1000.000000	-3.531330	0.700571	69.991639	0.173156	0.012804	84.718330
450.000000	1000.000000	-5.360525	0.716589	71.181143	0.273428	0.006520	2.531258
460.000000	1000.000000	-7.722950	0.729061	71.474554	0.402437	0.006310	0.818311
470.000000	1000.000000	-10.974516	0.742154	72.784660	0.592815	0.003377	1.474668
480.000000	1000.000000	-14.523288	0.751093	73.525611	0.802042	0.003263	-0.001000
490.000000	1000.000000	-19.309752	0.763088	73.494168	1.082939	0.001905	1.106815
500.000000	1000.000000	-24.673066	0.769914	74.005634	1.405821	0.001829	0.287707
510.000000	1000.000000	-30.382217	0.776739	74.124734	1.749274	0.001755	0.241387
520.000000	1000.000000	-36.627038	0.783386	73.743577	2.115931	0.001674	0.414619
530.000000	1000.000000	-43.355352	0.789996	72.824382	2.494275	0.001123	0.187676
540.000000	1000.000000	-48.267830	0.793074	73.614004	2.817940	0.001093	1.018278
550.000000	1000.000000	-49.936215	0.793808	73.180282	2.900850	0.001086	0.185058
560.000000	1000.000000	-52.772276	0.795460	73.093263	3.068325	0.001067	0.422559
570.000000	1000.000000	-56.405852	0.797587	72.942551	3.281581	0.001049	0.269560
580.000000	1000.000000	-59.410612	0.799134	72.812370	3.456915	0.001036	0.457980
590.000000	1000.000000	-62.897667	0.800768	72.316418	3.642320	0.001018	0.189338
600.000000	1000.000000	-69.171717	0.803713	72.487457	4.029881	0.000993	0.202891
610.000000	1000.000000	-75.445914	0.806574	72.149310	4.390480	0.000967	-0.001000
620.000000	1000.000000	-78.878223	0.807833	72.375694	4.611808	0.000953	0.071395
630.000000	1000.000000	-81.567715	0.809040	71.866237	4.742566	0.000943	0.765237
640.000000	1000.000000	-84.139352	0.809968	71.795898	4.892905	0.000933	0.077556
650.000000	1000.000000	-86.520314	0.810589	71.504186	5.014760	0.000928	0.385052
660.000000	1000.000000	-88.538370	0.811560	71.738410	5.154706	0.000911	-0.001000
670.000000	1000.000000	-91.460729	0.813505	71.895083	5.349267	0.000730	0.083466
680.000000	1000.000000	-95.159008	0.814528	71.229202	5.520951	0.000721	-0.001000
690.000000	1000.000000	-99.640600	0.815626	71.196030	5.786064	0.000715	0.088842
700.000000	1000.000000	-108.541402	0.818063	71.145277	6.317252	0.000699	0.586900
710.000000	1000.000000	-120.329199	0.820926	69.915449	6.906347	0.000679	0.129521
720.000000	1000.000000	-132.162001	0.823523	69.895347	7.607304	0.000664	0.098380
730.000000	1000.000000	-143.977619	0.825846	69.441779	8.256855	0.000650	0.060930
740.000000	1000.000000	-155.713165	0.828322	69.787210	9.001195	0.000632	0.049716
750.000000	1000.000000	-167.524470	0.830272	68.503980	9.528276	0.000622	0.132162
760.000000	1000.000000	-180.701123	0.832313	67.603364	10.167542	0.000608	0.103300
770.000000	1000.000000	-190.872027	0.833863	67.180220	10.692473	0.000599	0.054188
780.000000	1000.000000	-201.716180	0.835186	66.689764	11.235259	0.000587	0.126761
790.000000	1000.000000	-211.409899	0.836539	66.088797	11.687974	0.000578	0.048549
800.000000	1000.000000	-220.984497	0.837576	66.340067	12.278973	0.000568	0.082975
810.000000	1000.000000	-230.298423	0.838468	66.046981	12.753529	0.000564	0.096530
