Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1000.000000	-213.696247	0.845355	67.280049	12.154081	0.000522	0.099865
410.000000	1000.000000	-210.611728	0.844294	68.124862	12.113839	0.000519	-0.001000
420.000000	1000.000000	-208.794536	0.843641	67.448906	11.880967	0.000522	0.107297
430.000000	1000.000000	-205.732304	0.843044	67.904297	11.777414	0.000522	0.066304
440.000000	1000.000000	-202.148333	0.842486	67.865228	11.557927	0.000527	0.033321
450.000000	1000.000000	-198.254154	0.841698	67.870900	11.325625	0.000531	0.135259
460.000000	1000.000000	-193.552667	0.840908	67.857809	11.044531	0.000533	0.099807
470.000000	1000.000000	-188.462862	0.840042	67.471656	10.681893	0.000540	0.028862
480.000000	1000.000000	-182.941971	0.839235	68.183179	10.468250	0.000542	0.129790
490.000000	1000.000000	-177.927902	0.838361	68.624872	10.236620	0.000546	0.162259
500.000000	1000.000000	-172.032055	0.837508	68.727379	9.902122	0.000552	0.107261
510.000000	1000.000000	-167.323567	0.836572	68.498508	9.588303	0.000556	0.089156
520.000000	1000.000000	-164.501668	0.836149	69.036157	9.495781	0.000558	0.033956
530.000000	1000.000000	-161.623483	0.835566	68.475251	9.247386	0.000560	0.039147
540.000000	1000.000000	-157.233046	0.835101	69.208513	9.087456	0.000564	-0.001000
550.000000	1000.000000	-153.123687	0.834347	68.993265	8.814463	0.000567	-0.001000
560.000000	1000.000000	-148.695223	0.833462	69.904921	8.663440	0.000576	-0.001000
570.000000	1000.000000	-144.203678	0.832513	69.537983	8.348139	0.000579	0.022041
580.000000	1000.000000	-139.811269	0.831700	69.795314	8.115869	0.000585	0.066365
590.000000	1000.000000	-136.182849	0.830910	69.822408	7.900802	0.000590	0.207559
600.000000	1000.000000	-132.726888	0.830169	69.328920	7.639058	0.000592	0.041948
610.000000	1000.000000	-129.136706	0.829518	69.902867	7.488083	0.000597	0.073784
620.000000	1000.000000	-125.472709	0.828601	69.769002	7.253658	0.000604	0.105279
630.000000	1000.000000	-121.975765	0.828129	69.959520	7.066725	0.000606	-0.001000
640.000000	1000.000000	-114.261027	0.826271	69.797832	6.589655	0.000615	0.046145
650.000000	1000.000000	-106.491805	0.823581	69.656766	6.109224	0.000756	0.148144
660.000000	1000.000000	-99.303399	0.821230	70.499273	5.749279	0.000769	-0.001000
670.000000	1000.000000	-92.084969	0.819069	71.587238	5.399391	0.000788	0.084559
680.000000	1000.000000	-85.484064	0.816691	70.377136	4.913315	0.000806	-0.001000
690.000000	1000.000000	-78.399147	0.813806	70.721468	4.512149	0.000826	0.253775
700.000000	1000.000000	-70.750073	0.810678	70.718192	4.056078	0.000851	0.131179
710.000000	1000.000000	-63.009201	0.807268	71.479459	3.635825	0.000878	0.447498
720.000000	1000.000000	-55.865244	0.804104	71.341763	3.204775	0.000898	0.182650
730.000000	1000.000000	-48.390015	0.798104	71.670398	2.767931	0.001250	-0.001000
740.000000	1000.000000	-41.278086	0.792552	71.414184	2.336318	0.001300	0.163094
750.000000	1000.000000	-34.836503	0.787501	70.657153	1.938392	0.001344	0.430572
760.000000	1000.000000	-28.522195	0.782227	71.083314	1.585928	0.001389	0.405781
770.000000	1000.000000	-22.027455	0.771530	70.711332	1.201727	0.002164	0.162100
780.000000	1000.000000	-16.011564	0.761828	69.292947	0.845240	0.002267	-0.001000
790.000000	1000.000000	-9.952308	0.743188	67.009147	0.495629	0.003849	-0.001000
800.000000	1000.000000	-4.164741	0.706239	59.247427	0.174265	0.011822	1.000877
810.000000	1000.000000	-0.125739	0.250745	32.156494	0.001014	1.258034	2.879152
