Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
760.000000	1053.797256	-0.001176	0.002679	0.000000	7.827466E-7	2.320632	2.364672
740.000000	1053.797256	-1.294942	0.625078	48.176288	0.037005	0.071242	0.471030
720.000000	1053.797256	-3.398830	0.679157	61.153222	0.133956	0.014929	2.314593
700.000000	1053.797256	-6.534845	0.705173	63.206896	0.276400	0.007473	0.387652
680.000000	1053.797256	-10.549184	0.722733	65.172958	0.471527	0.005221	0.520311
660.000000	1053.797256	-14.630563	0.734364	66.170913	0.674657	0.003732	0.270983
640.000000	1053.797256	-19.803994	0.744869	66.532382	0.931341	0.002720	0.329477
620.000000	1053.797256	-25.555906	0.753594	67.018103	1.224795	0.002021	0.175548
600.000000	1053.797256	-33.685890	0.763093	66.666629	1.626212	0.001535	0.126724
580.000000	1053.797256	-38.518135	0.767074	67.235285	1.885136	0.001491	0.080529
560.000000	1053.797256	-43.616699	0.770943	66.692479	2.128114	0.001452	-0.001000
540.000000	1053.797256	-48.519351	0.774671	66.159127	2.359745	0.001172	0.054015
520.000000	1053.797256	-52.903675	0.777230	65.951630	2.573378	0.001142	0.079771
500.000000	1053.797256	-55.444118	0.778736	66.445024	2.722394	0.001130	0.099313
480.000000	1053.797256	-58.921524	0.780372	65.639963	2.864090	0.001103	0.044575
460.000000	1053.797256	-61.744856	0.781707	65.803183	3.013939	0.001105	0.130670
440.000000	1053.797256	-63.769774	0.782402	65.557527	3.103919	0.001096	0.141150
420.000000	1053.797256	-65.630236	0.783579	65.576602	3.200212	0.001076	0.067038
400.000000	1053.797256	-66.866140	0.783967	65.295396	3.248100	0.001074	0.111394
380.000000	1053.797256	-67.866052	0.784284	65.210177	3.293700	0.001062	0.081950
360.000000	1053.797256	-68.124419	0.784304	65.583311	3.325244	0.001061	0.089848
