Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
760.000000	1053.797256	-46.769455	0.827638	31.569717	1.159622	0.007128	0.031287
740.000000	1053.797256	-46.881284	0.828081	31.694554	1.167615	0.007104	0.027116
720.000000	1053.797256	-46.992803	0.828515	31.724549	1.172114	0.007102	0.031042
700.000000	1053.797256	-46.887068	0.828953	31.884247	1.175985	0.007112	0.031334
680.000000	1053.797256	-46.667263	0.829022	31.993560	1.174584	0.007136	0.033255
660.000000	1053.797256	-46.401614	0.828894	31.761876	1.159260	0.007244	0.031491
640.000000	1053.797256	-45.611053	0.828396	31.755295	1.138589	0.007289	0.037451
620.000000	1053.797256	-44.514436	0.827148	31.494157	1.100416	0.007519	0.038913
600.000000	1053.797256	-41.761809	0.823853	31.464047	1.027274	0.008281	0.034232
580.000000	1053.797256	-38.579404	0.819759	31.468671	0.944416	0.008844	0.034101
560.000000	1053.797256	-35.459127	0.815662	31.239692	0.857409	0.009538	0.036210
540.000000	1053.797256	-30.639639	0.809828	31.624603	0.744637	0.011414	0.048947
520.000000	1053.797256	-25.297477	0.804014	32.806683	0.633208	0.013148	0.064047
500.000000	1053.797256	-21.181123	0.799831	34.004869	0.546678	0.014878	0.084124
480.000000	1053.797256	-16.434909	0.793834	36.353550	0.450077	0.018493	0.217522
460.000000	1053.797256	-10.896923	0.782978	40.323791	0.326481	0.024742	0.550899
440.000000	1053.797256	-6.625491	0.767201	45.011613	0.217118	0.034221	1.667768
420.000000	1053.797256	-3.392738	0.743123	49.309476	0.117973	0.054261	2.589773
400.000000	1053.797256	-1.357254	0.708831	53.030891	0.048415	0.099770	2.597059
380.000000	1053.797256	-0.482768	0.668343	54.135354	0.016575	0.201093	6.806254
360.000000	1053.797256	-0.179559	0.627023	53.354658	0.005700	0.499685	15.219936
