Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
360.000000	1053.797256	-0.081550	0.429743	32.986097	0.001097	3.327031	8.970181
380.000000	1053.797256	-0.240093	0.613674	40.871779	0.005715	0.619981	6.654462
400.000000	1053.797256	-0.717665	0.704053	50.806314	0.024361	0.128881	5.513423
420.000000	1053.797256	-1.961488	0.758809	57.641975	0.081414	0.040407	2.161129
440.000000	1053.797256	-4.263527	0.793491	59.617016	0.191392	0.017669	0.865378
460.000000	1053.797256	-7.700699	0.817161	60.533878	0.361476	0.007929	1.421819
480.000000	1053.797256	-12.566929	0.834757	59.183064	0.589155	0.005239	0.701718
500.000000	1053.797256	-17.224158	0.845651	58.844464	0.813350	0.004838	0.235996
520.000000	1053.797256	-21.323646	0.853496	58.548789	1.011169	0.003464	0.242758
540.000000	1053.797256	-26.844826	0.861651	58.249890	1.278586	0.003250	0.261263
560.000000	1053.797256	-32.082956	0.868873	58.046646	1.535503	0.002431	0.142422
580.000000	1053.797256	-35.501717	0.872387	58.153799	1.709147	0.002345	0.087175
600.000000	1053.797256	-38.410121	0.875585	58.711273	1.873737	0.002295	0.084476
620.000000	1053.797256	-41.321759	0.878390	58.621681	2.019143	0.002231	0.114822
640.000000	1053.797256	-42.570520	0.879351	58.595422	2.081508	0.002224	0.259331
660.000000	1053.797256	-43.109679	0.879946	58.762453	2.115309	0.002197	0.166731
680.000000	1053.797256	-43.824133	0.880266	58.763626	2.151189	0.002195	0.110445
700.000000	1053.797256	-43.837873	0.880502	58.728662	2.151160	0.002181	0.145655
720.000000	1053.797256	-43.983206	0.880388	59.012753	2.168452	0.002176	0.171468
740.000000	1053.797256	-44.088831	0.880508	58.571785	2.157710	0.002166	0.236389
760.000000	1053.797256	-44.216717	0.880200	58.317561	2.153824	0.002170	0.079390
