Dividing Wavelength (nm)	Light Power Density (W/m^2)	Jsc (A/m^2)	Voc (V)	FF (%)	Efficiency (%)	Rs (Ω · m^2)	Rsh (Ω · m^2)	
400.000000	1094.384842	-0.794505	0.506335	58.933804	0.021664	0.100127	-0.001000
410.000000	1094.384842	-1.217163	0.531490	59.614152	0.035239	0.062917	2.584305
420.000000	1094.384842	-2.041269	0.558646	60.275683	0.062807	0.041853	1.945686
430.000000	1094.384842	-3.426954	0.583393	61.363425	0.112101	0.024033	-0.001000
440.000000	1094.384842	-5.314699	0.601541	61.031771	0.178291	0.016109	-0.001000
450.000000	1094.384842	-8.107458	0.617270	60.878301	0.278389	0.012064	2.489189
460.000000	1094.384842	-11.555659	0.629643	60.535398	0.402465	0.009234	0.255726
470.000000	1094.384842	-16.108030	0.640863	60.213454	0.567978	0.007123	0.585859
480.000000	1094.384842	-20.806813	0.648903	59.526289	0.734385	0.005755	8.636204
490.000000	1094.384842	-26.834400	0.657711	58.833017	0.948807	0.004670	0.369696
500.000000	1094.384842	-33.484573	0.665162	58.188568	1.184241	0.003873	0.776193
510.000000	1094.384842	-40.399078	0.671826	56.816360	1.409066	0.003257	0.421708
520.000000	1094.384842	-47.602320	0.677663	56.563427	1.667277	0.003007	0.170585
530.000000	1094.384842	-54.472386	0.682716	56.078450	1.905645	0.002600	0.181020
540.000000	1094.384842	-59.953235	0.685507	55.645883	2.089717	0.002492	0.062326
550.000000	1094.384842	-62.731726	0.686372	55.139852	2.169415	0.002430	0.103633
560.000000	1094.384842	-67.671842	0.688908	54.848703	2.336497	0.002322	0.081513
570.000000	1094.384842	-73.961505	0.692811	54.840007	2.567720	0.002044	0.098223
580.000000	1094.384842	-78.439198	0.694548	54.360146	2.706113	0.001985	0.963020
590.000000	1094.384842	-83.416758	0.696782	53.748830	2.854627	0.001914	0.217604
600.000000	1094.384842	-90.859963	0.700411	53.694915	3.122401	0.001850	-0.001000
610.000000	1094.384842	-98.446114	0.703982	53.610104	3.394977	0.001627	-0.001000
620.000000	1094.384842	-102.848164	0.705275	53.310191	3.533420	0.001605	0.423172
630.000000	1094.384842	-107.178060	0.706440	52.641160	3.641969	0.001582	0.053618
640.000000	1094.384842	-111.548420	0.707421	52.412448	3.779252	0.001526	0.067600
650.000000	1094.384842	-115.979605	0.708789	52.381450	3.934648	0.001488	0.033472
660.000000	1094.384842	-120.602906	0.709920	52.408200	4.100119	0.001459	0.046496
670.000000	1094.384842	-126.232117	0.711261	51.762743	4.246647	0.001416	0.032503
680.000000	1094.384842	-133.071968	0.712802	51.668709	4.478301	0.001286	0.050847
690.000000	1094.384842	-140.050798	0.714725	51.310933	4.693152	0.001238	-0.001000
700.000000	1094.384842	-149.293760	0.716601	51.223915	5.007511	0.001198	-0.001000
710.000000	1094.384842	-160.145761	0.719048	50.804923	5.345758	0.001150	0.055035
720.000000	1094.384842	-173.416821	0.721423	50.195309	5.738179	0.001086	0.043075
730.000000	1094.384842	-185.444158	0.723690	50.311243	6.169650	0.000977	0.012848
740.000000	1094.384842	-197.894793	0.725707	49.692116	6.520987	0.000937	-0.001000
750.000000	1094.384842	-211.183880	0.727692	49.607946	6.966099	0.000904	0.783843
760.000000	1094.384842	-224.964811	0.729507	49.722096	7.456296	0.000867	0.010335
770.000000	1094.384842	-238.052219	0.731143	49.327952	7.845083	0.000840	0.070592
780.000000	1094.384842	-252.348884	0.732556	49.036035	8.282999	0.000767	0.011712
790.000000	1094.384842	-267.705662	0.734260	48.525353	8.715779	0.000729	0.017033
800.000000	1094.384842	-282.956879	0.735581	48.266281	9.179620	0.000715	-0.001000
810.000000	1094.384842	-297.954062	0.736830	48.240692	9.677430	0.000687	0.009494
